archetype_id,archetype_name,jurisdiction,regime,startYear,endYear,alignment
001,Rawlsian Reformer,Italy,Post-war Republic,1946,1968,-1.443
001,Rawlsian Reformer,Italy,Years of Lead,1969,1983,-0.582
001,Rawlsian Reformer,Italy,Craxi/First Republic End,1984,1993,-1.549
001,Rawlsian Reformer,Italy,Second Republic,1994,2012,-0.937
001,Rawlsian Reformer,Italy,Populist Italy,2013,2026,-1.237
001,Rawlsian Reformer,Austria/Austria-Hungary,Habsburg Enlightened Absolutism,1789,1814,-2.291
001,Rawlsian Reformer,Austria/Austria-Hungary,Metternich System,1815,1847,-2.682
001,Rawlsian Reformer,Austria/Austria-Hungary,1848/Neo-Absolutism,1848,1866,-2.408
001,Rawlsian Reformer,Austria/Austria-Hungary,Austria-Hungary Dual Monarchy,1867,1913,-1.151
001,Rawlsian Reformer,Austria/Austria-Hungary,WWI/Collapse,1914,1918,-2.722
001,Rawlsian Reformer,Austria/Austria-Hungary,First Republic,1919,1933,-0.118
001,Rawlsian Reformer,Austria/Austria-Hungary,Austrofascism/Anschluss,1934,1945,-2.824
001,Rawlsian Reformer,Austria/Austria-Hungary,Second Republic Consensus,1945,1986,0.630
001,Rawlsian Reformer,Austria/Austria-Hungary,Modern Austria,1987,2026,0.489
001,Rawlsian Reformer,Ottoman Empire/Turkey,Late Ottoman,1789,1807,-2.428
001,Rawlsian Reformer,Ottoman Empire/Turkey,Tanzimat,1808,1876,-1.077
001,Rawlsian Reformer,Ottoman Empire/Turkey,Hamidian Era,1877,1907,-2.667
001,Rawlsian Reformer,Ottoman Empire/Turkey,Young Turks/WWI,1908,1918,-2.639
001,Rawlsian Reformer,Ottoman Empire/Turkey,Kemalist Republic,1919,1937,-0.377
001,Rawlsian Reformer,Ottoman Empire/Turkey,Multi-party Turkey,1938,1959,-1.830
001,Rawlsian Reformer,Ottoman Empire/Turkey,Coup/Instability Era,1960,1979,-2.109
001,Rawlsian Reformer,Ottoman Empire/Turkey,Ozal/Secular Republic,1980,2001,-1.666
001,Rawlsian Reformer,Ottoman Empire/Turkey,Erdogan Era,2002,2026,-2.563
001,Rawlsian Reformer,Poland,Partition Era,1789,1830,-2.294
001,Rawlsian Reformer,Poland,November/January Uprisings,1831,1863,-2.381
001,Rawlsian Reformer,Poland,Organic Work/Positivism,1864,1913,-1.300
001,Rawlsian Reformer,Poland,Second Republic,1918,1926,-0.002
001,Rawlsian Reformer,Poland,Sanacja/Pilsudski,1926,1939,-2.097
001,Rawlsian Reformer,Poland,WWII/Occupation,1939,1944,-2.768
001,Rawlsian Reformer,Poland,Stalinist Poland,1945,1956,-1.666
001,Rawlsian Reformer,Poland,Gomulka/Gierek,1957,1980,-1.055
001,Rawlsian Reformer,Poland,Solidarity/Transition,1981,1997,-0.413
001,Rawlsian Reformer,Poland,PiS Poland,1998,2026,-1.580
001,Rawlsian Reformer,Netherlands,Batavian/French Period,1789,1813,0.368
001,Rawlsian Reformer,Netherlands,United Kingdom of Netherlands,1814,1830,-1.077
001,Rawlsian Reformer,Netherlands,Liberal Era,1831,1887,-1.261
001,Rawlsian Reformer,Netherlands,Pillarization,1888,1939,-0.336
001,Rawlsian Reformer,Netherlands,WWII Occupation,1940,1945,-2.768
001,Rawlsian Reformer,Netherlands,Reconstruction/Consensus,1946,1965,1.016
001,Rawlsian Reformer,Netherlands,Cultural Revolution/Progressive,1966,2001,2.191
001,Rawlsian Reformer,Netherlands,Populist Turn,2002,2026,-0.336
001,Rawlsian Reformer,Sweden,Gustavian/Bernadotte Early,1789,1865,-1.845
001,Rawlsian Reformer,Sweden,Liberal Reform Era,1866,1913,-0.657
001,Rawlsian Reformer,Sweden,Social Democratic Rise,1914,1945,1.069
001,Rawlsian Reformer,Sweden,Folkhem Peak,1946,1975,1.925
001,Rawlsian Reformer,Sweden,Neoliberal Turn,1976,2005,1.571
001,Rawlsian Reformer,Sweden,Immigration Debate,2006,2026,0.489
001,Rawlsian Reformer,Portugal,Late Monarchy,1789,1807,-2.455
001,Rawlsian Reformer,Portugal,Brazilian Exile/Liberalism,1808,1833,-1.845
001,Rawlsian Reformer,Portugal,Constitutional Monarchy,1834,1909,-1.689
001,Rawlsian Reformer,Portugal,First Republic,1910,1925,0.368
001,Rawlsian Reformer,Portugal,Estado Novo/Salazar,1926,1968,-2.419
001,Rawlsian Reformer,Portugal,Caetano/Revolution,1969,1976,0.131
001,Rawlsian Reformer,Portugal,Democratic Consolidation,1977,2007,1.571
001,Rawlsian Reformer,Portugal,Austerity Portugal,2008,2026,1.394
001,Rawlsian Reformer,Greece,Ottoman Rule/Independence,1789,1832,-2.073
001,Rawlsian Reformer,Greece,Othonian/Early Kingdom,1833,1862,-1.830
001,Rawlsian Reformer,Greece,Trikoupis/Deliyannis,1863,1909,-1.830
001,Rawlsian Reformer,Greece,Venizelos/National Schism,1910,1935,-1.555
001,Rawlsian Reformer,Greece,Metaxas/WWII/Civil War,1936,1949,-2.630
001,Rawlsian Reformer,Greece,Cold War Greece,1950,1966,-2.023
001,Rawlsian Reformer,Greece,Junta,1967,1974,-2.703
001,Rawlsian Reformer,Greece,Metapolitefsi,1975,2008,0.119
001,Rawlsian Reformer,Greece,Crisis Greece,2009,2026,-0.908
001,Rawlsian Reformer,Belgium,Revolution/Independence,1830,1847,-0.891
001,Rawlsian Reformer,Belgium,Liberal/Catholic Rivalry,1848,1913,-1.025
001,Rawlsian Reformer,Belgium,WWI/Interwar,1914,1939,-0.624
001,Rawlsian Reformer,Belgium,WWII/Reconstruction,1940,1957,0.489
001,Rawlsian Reformer,Belgium,Linguistic Federalization,1958,1992,1.060
001,Rawlsian Reformer,Belgium,Federal Belgium,1993,2010,1.452
001,Rawlsian Reformer,Belgium,Modern Belgium,2011,2026,1.060
001,Rawlsian Reformer,Switzerland,Helvetic/Mediation,1789,1847,-1.261
001,Rawlsian Reformer,Switzerland,Federal State,1848,1913,-0.413
001,Rawlsian Reformer,Switzerland,Interwar/WWII,1914,1945,-1.126
001,Rawlsian Reformer,Switzerland,Magic Formula Era,1946,1990,-0.777
001,Rawlsian Reformer,Switzerland,SVP Rise,1991,2010,-1.126
001,Rawlsian Reformer,Switzerland,Modern Switzerland,2011,2026,-0.687
001,Rawlsian Reformer,Romania,Phanariot/Early Principalities,1789,1829,-2.826
001,Rawlsian Reformer,Romania,Organic Statutes/Union,1830,1866,-1.845
001,Rawlsian Reformer,Romania,Romanian Kingdom,1867,1913,-2.474
001,Rawlsian Reformer,Romania,Greater Romania,1914,1937,-1.830
001,Rawlsian Reformer,Romania,Royal Dictatorship/WWII,1938,1944,-2.824
001,Rawlsian Reformer,Romania,Communist Romania,1945,1964,-1.666
001,Rawlsian Reformer,Romania,Ceausescu,1965,1989,-2.461
001,Rawlsian Reformer,Romania,Post-Communist Romania,1990,2026,-1.017
001,Rawlsian Reformer,Hungary,Habsburg Hungary,1789,1847,-1.830
001,Rawlsian Reformer,Hungary,1848/Compromise,1848,1867,-1.629
001,Rawlsian Reformer,Hungary,Dual Monarchy,1868,1918,-1.602
001,Rawlsian Reformer,Hungary,Horthy Era,1920,1944,-2.544
001,Rawlsian Reformer,Hungary,Stalinist Hungary,1945,1956,-1.666
001,Rawlsian Reformer,Hungary,Kadar Era,1957,1989,-1.543
001,Rawlsian Reformer,Hungary,Post-Communist/Liberal,1990,2009,0.029
001,Rawlsian Reformer,Hungary,Orban's Hungary,2010,2026,-2.337
001,Rawlsian Reformer,Czech/Czechoslovakia,Habsburg Bohemia,1789,1867,-1.830
001,Rawlsian Reformer,Czech/Czechoslovakia,Austria-Hungary/Czech Politics,1868,1918,-0.079
001,Rawlsian Reformer,Czech/Czechoslovakia,First Republic,1918,1938,1.693
001,Rawlsian Reformer,Czech/Czechoslovakia,Munich/Protectorate,1938,1945,-2.768
001,Rawlsian Reformer,Czech/Czechoslovakia,Communist Czechoslovakia,1948,1967,-1.666
001,Rawlsian Reformer,Czech/Czechoslovakia,Prague Spring/Normalization,1968,1989,-1.751
001,Rawlsian Reformer,Czech/Czechoslovakia,Czech Republic,1993,2026,-0.687
001,Rawlsian Reformer,USA,Federalist Era,1789,1800,-1.306
001,Rawlsian Reformer,USA,Jeffersonian,1801,1823,-0.626
001,Rawlsian Reformer,USA,Jacksonian Democracy,1824,1849,-2.298
001,Rawlsian Reformer,USA,Sectional Crisis,1850,1860,-2.322
001,Rawlsian Reformer,USA,Civil War/Reconstruction,1861,1876,-1.147
001,Rawlsian Reformer,USA,Gilded Age,1877,1895,-2.492
001,Rawlsian Reformer,USA,Progressive Era,1896,1919,0.444
001,Rawlsian Reformer,USA,Roaring Twenties/Normalcy,1920,1932,-2.154
001,Rawlsian Reformer,USA,New Deal/WWII,1933,1952,0.444
001,Rawlsian Reformer,USA,Cold War Consensus,1953,1968,0.535
001,Rawlsian Reformer,USA,Crisis/Realignment,1969,1980,-0.824
001,Rawlsian Reformer,USA,Reagan-Clinton,1981,2007,-0.806
001,Rawlsian Reformer,USA,Polarization Era,2008,2026,-1.237
001,Rawlsian Reformer,Mexico,Late Colonial/Independence,1789,1821,-2.294
001,Rawlsian Reformer,Mexico,First Empire/Early Republic,1822,1854,-2.550
001,Rawlsian Reformer,Mexico,La Reforma,1855,1876,-0.295
001,Rawlsian Reformer,Mexico,Porfiriato,1877,1910,-2.422
001,Rawlsian Reformer,Mexico,Revolution,1911,1920,-2.092
001,Rawlsian Reformer,Mexico,Revolutionary State,1921,1940,-0.891
001,Rawlsian Reformer,Mexico,PRI Hegemony/Miracle,1941,1968,-1.845
001,Rawlsian Reformer,Mexico,PRI Crisis,1969,1988,-2.109
001,Rawlsian Reformer,Mexico,Democratization,1989,2012,-0.991
001,Rawlsian Reformer,Mexico,AMLO/Morena,2013,2026,-1.223
001,Rawlsian Reformer,Brazil,Colonial/Portuguese Court,1789,1821,-2.726
001,Rawlsian Reformer,Brazil,Empire,1822,1889,-2.154
001,Rawlsian Reformer,Brazil,Old Republic,1889,1930,-2.531
001,Rawlsian Reformer,Brazil,Vargas Era,1930,1945,-1.965
001,Rawlsian Reformer,Brazil,Democratic Experiment,1946,1963,-0.290
001,Rawlsian Reformer,Brazil,Military Dictatorship,1964,1984,-2.385
001,Rawlsian Reformer,Brazil,Redemocratization,1985,2002,1.511
001,Rawlsian Reformer,Brazil,Lula/PT Era,2003,2015,1.511
001,Rawlsian Reformer,Brazil,Bolsonaro/Crisis,2016,2026,-2.712
001,Rawlsian Reformer,Argentina,Independence/Rivadavia,1810,1829,-0.964
001,Rawlsian Reformer,Argentina,Rosas,1830,1852,-2.715
001,Rawlsian Reformer,Argentina,Liberal Republic,1853,1915,-1.029
001,Rawlsian Reformer,Argentina,Radical/Conservative,1916,1942,-0.360
001,Rawlsian Reformer,Argentina,Peronist Era,1943,1955,-1.951
001,Rawlsian Reformer,Argentina,Instability/Coups,1956,1972,-2.405
001,Rawlsian Reformer,Argentina,Dirty War,1973,1983,-2.824
001,Rawlsian Reformer,Argentina,Democratic Restoration,1984,2001,-0.126
001,Rawlsian Reformer,Argentina,Kirchnerismo/Crisis,2002,2026,-1.167
001,Rawlsian Reformer,Canada,British North America,1789,1866,-1.025
001,Rawlsian Reformer,Canada,Confederation/Macdonald,1867,1895,-2.129
001,Rawlsian Reformer,Canada,Laurier/Early 20th,1896,1929,-0.748
001,Rawlsian Reformer,Canada,Depression/War/Postwar,1930,1956,-0.002
001,Rawlsian Reformer,Canada,Quiet Revolution/Trudeau Sr.,1957,1983,2.618
001,Rawlsian Reformer,Canada,Mulroney/Chretien,1984,2005,0.479
001,Rawlsian Reformer,Canada,Modern Canada,2006,2026,1.693
001,Rawlsian Reformer,Colombia,Gran Colombia/Independence,1810,1830,-1.299
001,Rawlsian Reformer,Colombia,Conservative Hegemony,1831,1885,-2.635
001,Rawlsian Reformer,Colombia,Regeneration/Thousand Days,1886,1929,-2.360
001,Rawlsian Reformer,Colombia,Liberal Republic/La Violencia,1930,1957,-2.428
001,Rawlsian Reformer,Colombia,National Front,1958,1973,-1.706
001,Rawlsian Reformer,Colombia,Drug War/Constitution,1974,2002,-1.344
001,Rawlsian Reformer,Colombia,Uribe/Santos/Peace,2003,2026,-0.360
001,Rawlsian Reformer,Chile,Independence/O'Higgins,1810,1830,-1.783
001,Rawlsian Reformer,Chile,Conservative Republic,1831,1860,-2.257
001,Rawlsian Reformer,Chile,Liberal Republic,1861,1924,-1.350
001,Rawlsian Reformer,Chile,Social Question,1925,1958,-0.360
001,Rawlsian Reformer,Chile,Christian Democracy/Left,1959,1972,1.007
001,Rawlsian Reformer,Chile,Pinochet,1973,1989,-2.864
001,Rawlsian Reformer,Chile,Concertacion,1990,2009,1.571
001,Rawlsian Reformer,Chile,Estallido/Boric,2010,2026,1.224
001,Rawlsian Reformer,Cuba,Spanish Colony,1789,1897,-2.814
001,Rawlsian Reformer,Cuba,US Intervention/Platt,1898,1932,-2.525
001,Rawlsian Reformer,Cuba,Batista/Republic,1933,1958,-2.666
001,Rawlsian Reformer,Cuba,Revolutionary Cuba,1959,1975,-2.029
001,Rawlsian Reformer,Cuba,Late Castro/Special Period,1976,2006,-1.055
001,Rawlsian Reformer,Cuba,Post-Castro,2007,2026,-1.861
001,Rawlsian Reformer,Peru,Colonial/Independence,1789,1824,-2.799
001,Rawlsian Reformer,Peru,Caudillo Era,1825,1878,-2.666
001,Rawlsian Reformer,Peru,Aristocratic Republic,1879,1919,-2.481
001,Rawlsian Reformer,Peru,Leguia/APRA,1920,1967,-1.919
001,Rawlsian Reformer,Peru,Velasco/Military,1968,1979,-1.175
001,Rawlsian Reformer,Peru,Democracy/Fujimori,1980,2000,-2.322
001,Rawlsian Reformer,Peru,Post-Fujimori,2001,2026,-0.592
001,Rawlsian Reformer,Venezuela,Independence/Gran Colombia,1810,1830,-1.706
001,Rawlsian Reformer,Venezuela,Caudillo Era,1831,1908,-2.837
001,Rawlsian Reformer,Venezuela,Gomez/Oil State,1909,1957,-2.711
001,Rawlsian Reformer,Venezuela,Punto Fijo Democracy,1958,1988,-0.041
001,Rawlsian Reformer,Venezuela,Crisis/Caracazo,1989,1998,-1.408
001,Rawlsian Reformer,Venezuela,Chavez,1999,2012,-1.808
001,Rawlsian Reformer,Venezuela,Maduro,2013,2026,-2.424
001,Rawlsian Reformer,China,Late Qing/Pre-Opium,1789,1839,-2.007
001,Rawlsian Reformer,China,Opium Wars/Taiping,1840,1864,-2.579
001,Rawlsian Reformer,China,Self-Strengthening/Reform,1865,1911,-2.036
001,Rawlsian Reformer,China,Republic/Warlords,1912,1927,-1.788
001,Rawlsian Reformer,China,Nanjing Decade/War,1928,1948,-2.565
001,Rawlsian Reformer,China,Mao Early,1949,1957,-1.908
001,Rawlsian Reformer,China,Mao Radical,1958,1976,-2.220
001,Rawlsian Reformer,China,Deng Reform,1977,1989,-2.110
001,Rawlsian Reformer,China,Jiang/Hu Technocratic,1990,2012,-1.845
001,Rawlsian Reformer,China,Xi Jinping,2013,2026,-2.203
001,Rawlsian Reformer,Japan,Late Tokugawa,1789,1853,-1.439
001,Rawlsian Reformer,Japan,Bakumatsu/Restoration,1854,1877,-2.073
001,Rawlsian Reformer,Japan,Meiji,1878,1912,-0.977
001,Rawlsian Reformer,Japan,Taishō Democracy,1913,1930,-0.041
001,Rawlsian Reformer,Japan,Militarist Japan,1931,1945,-2.696
001,Rawlsian Reformer,Japan,Occupation/Recovery,1946,1959,0.928
001,Rawlsian Reformer,Japan,High Growth,1960,1989,-1.111
001,Rawlsian Reformer,Japan,Lost Decades,1990,2011,-1.160
001,Rawlsian Reformer,Japan,Abe/Modern Japan,2012,2026,-1.804
001,Rawlsian Reformer,India,Late Mughal/EIC,1789,1857,-2.097
001,Rawlsian Reformer,India,British Raj,1858,1919,-2.520
001,Rawlsian Reformer,India,Nationalist Movement,1920,1946,0.903
001,Rawlsian Reformer,India,Nehruvian India,1947,1964,2.191
001,Rawlsian Reformer,India,Congress Dominance,1965,1976,-0.946
001,Rawlsian Reformer,India,Coalition Era,1977,1998,-0.360
001,Rawlsian Reformer,India,BJP/Shining India,1999,2013,-1.830
001,Rawlsian Reformer,India,Modi Era,2014,2026,-2.417
001,Rawlsian Reformer,Korea,Joseon Late,1789,1875,-1.557
001,Rawlsian Reformer,Korea,Opening/Colonial,1876,1945,-2.759
001,Rawlsian Reformer,South Korea,Korean War/Division,1946,1960,-2.565
001,Rawlsian Reformer,South Korea,Park/Military,1961,1979,-2.299
001,Rawlsian Reformer,South Korea,Transition,1980,1992,-1.683
001,Rawlsian Reformer,South Korea,Democratic Consolidation,1993,2007,0.630
001,Rawlsian Reformer,South Korea,Polarized Democracy,2008,2026,-0.079
001,Rawlsian Reformer,Indonesia,Dutch East Indies,1789,1941,-2.841
001,Rawlsian Reformer,Indonesia,Japanese Occupation/Revolution,1942,1949,-2.116
001,Rawlsian Reformer,Indonesia,Guided Democracy/Sukarno,1950,1965,-0.578
001,Rawlsian Reformer,Indonesia,New Order/Suharto,1966,1998,-2.502
001,Rawlsian Reformer,Indonesia,Reformasi,1999,2013,0.489
001,Rawlsian Reformer,Indonesia,Jokowi/Modern,2014,2026,-0.686
001,Rawlsian Reformer,Philippines,Spanish Philippines,1789,1898,-2.556
001,Rawlsian Reformer,Philippines,American Period,1899,1945,-0.991
001,Rawlsian Reformer,Philippines,Independence/Democratic,1946,1971,-0.991
001,Rawlsian Reformer,Philippines,Marcos,1972,1985,-2.749
001,Rawlsian Reformer,Philippines,People Power/Democracy,1986,2015,-0.777
001,Rawlsian Reformer,Philippines,Duterte/Modern,2016,2026,-2.746
001,Rawlsian Reformer,Thailand,Late Ayutthaya/Early Chakri,1789,1850,-2.455
001,Rawlsian Reformer,Thailand,Chulalongkorn/Reform,1851,1932,-1.830
001,Rawlsian Reformer,Thailand,Constitutional Revolution,1932,1957,-2.036
001,Rawlsian Reformer,Thailand,Military/Development,1958,1972,-2.563
001,Rawlsian Reformer,Thailand,Democracy Oscillation,1973,1991,-0.395
001,Rawlsian Reformer,Thailand,Thaksin/Yellow-Red,1992,2013,-1.344
001,Rawlsian Reformer,Thailand,Junta/Modern,2014,2026,-2.544
001,Rawlsian Reformer,Vietnam,Late Lê/Nguyễn,1789,1858,-1.696
001,Rawlsian Reformer,Vietnam,French Indochina,1859,1945,-2.718
001,Rawlsian Reformer,Vietnam,Independence War,1946,1954,-2.317
001,Rawlsian Reformer,Vietnam,Vietnam War,1955,1975,-2.037
001,Rawlsian Reformer,Vietnam,Socialist Republic,1976,1985,-1.701
001,Rawlsian Reformer,Vietnam,Đổi Mới,1986,2026,-2.121
001,Rawlsian Reformer,Iran,Qajar Early,1789,1848,-2.620
001,Rawlsian Reformer,Iran,Qajar Late/Constitutional,1849,1924,-1.956
001,Rawlsian Reformer,Iran,Pahlavi Early,1925,1952,-1.500
001,Rawlsian Reformer,Iran,Mossadegh/Shah,1953,1963,-2.177
001,Rawlsian Reformer,Iran,Pahlavi Peak,1964,1978,-2.121
001,Rawlsian Reformer,Iran,Islamic Revolution,1979,1988,-2.311
001,Rawlsian Reformer,Iran,Islamic Republic,1989,2026,-2.091
001,Rawlsian Reformer,Pakistan,Independence/Early,1947,1958,-1.629
001,Rawlsian Reformer,Pakistan,Ayub/Military,1959,1971,-2.600
001,Rawlsian Reformer,Pakistan,Bhutto/Zia,1972,1988,-2.203
001,Rawlsian Reformer,Pakistan,Democratic Oscillation,1989,2007,-2.322
001,Rawlsian Reformer,Pakistan,Modern Pakistan,2008,2026,-2.322
001,Rawlsian Reformer,Egypt,Muhammad Ali Dynasty,1789,1848,-2.506
001,Rawlsian Reformer,Egypt,Khedivate/British,1849,1913,-2.561
001,Rawlsian Reformer,Egypt,Liberal/Monarchy,1914,1951,-1.238
001,Rawlsian Reformer,Egypt,Nasser,1952,1970,-2.278
001,Rawlsian Reformer,Egypt,Sadat,1971,1981,-2.110
001,Rawlsian Reformer,Egypt,Mubarak,1982,2010,-2.605
001,Rawlsian Reformer,Egypt,Arab Spring/Morsi,2011,2013,-0.501
001,Rawlsian Reformer,Egypt,Sisi,2014,2026,-2.550
001,Rawlsian Reformer,South Africa,Cape Colony/Early,1789,1869,-2.736
001,Rawlsian Reformer,South Africa,Mineral Revolution/Union,1870,1913,-2.736
001,Rawlsian Reformer,South Africa,Segregation Era,1914,1947,-2.725
001,Rawlsian Reformer,South Africa,Apartheid,1948,1989,-2.749
001,Rawlsian Reformer,South Africa,Transition,1990,1994,1.511
001,Rawlsian Reformer,South Africa,Mandela/Mbeki,1995,2007,2.012
001,Rawlsian Reformer,South Africa,Zuma/Crisis,2008,2026,-1.344
001,Rawlsian Reformer,Nigeria,Colonial Nigeria,1789,1913,-2.841
001,Rawlsian Reformer,Nigeria,British Colony,1914,1959,-1.830
001,Rawlsian Reformer,Nigeria,First Republic/Biafra,1960,1969,-2.253
001,Rawlsian Reformer,Nigeria,Military Era,1970,1998,-2.804
001,Rawlsian Reformer,Nigeria,Fourth Republic,1999,2014,-1.238
001,Rawlsian Reformer,Nigeria,Buhari/Modern,2015,2026,-1.548
001,Rawlsian Reformer,Saudi Arabia,Pre-Saudi/First State,1789,1818,-2.666
001,Rawlsian Reformer,Saudi Arabia,Second Saudi State/Interregnum,1819,1901,-2.308
001,Rawlsian Reformer,Saudi Arabia,Ibn Saud/Unification,1902,1952,-2.393
001,Rawlsian Reformer,Saudi Arabia,Oil Kingdom,1953,2014,-2.244
001,Rawlsian Reformer,Saudi Arabia,MBS/Vision 2030,2015,2026,-2.600
001,Rawlsian Reformer,Iraq,Ottoman Iraq,1789,1917,-2.620
001,Rawlsian Reformer,Iraq,British Mandate/Monarchy,1918,1957,-1.238
001,Rawlsian Reformer,Iraq,Revolution/Baath,1958,1968,-2.341
001,Rawlsian Reformer,Iraq,Saddam Hussein,1969,2002,-2.730
001,Rawlsian Reformer,Iraq,US Occupation,2003,2010,-1.788
001,Rawlsian Reformer,Iraq,Maliki/ISIS,2011,2017,-2.667
001,Rawlsian Reformer,Iraq,Post-ISIS Iraq,2018,2026,-1.092
001,Rawlsian Reformer,Israel,Yishuv/Mandate,1920,1947,-0.008
001,Rawlsian Reformer,Israel,Labor Zionism,1948,1977,-1.337
001,Rawlsian Reformer,Israel,Likud/Begin,1978,1992,-2.400
001,Rawlsian Reformer,Israel,Oslo/Peace Process,1993,2000,0.582
001,Rawlsian Reformer,Israel,Netanyahu/Right Turn,2001,2026,-2.733
001,Rawlsian Reformer,Algeria,Ottoman/French Conquest,1789,1847,-2.750
001,Rawlsian Reformer,Algeria,French Algeria,1848,1953,-2.759
001,Rawlsian Reformer,Algeria,War of Independence,1954,1962,-1.944
001,Rawlsian Reformer,Algeria,FLN State,1963,1988,-1.923
